block_name,scheduled_date,room_from,room_to,day_of_week
D2,2026-04-01,101,318,
D2,2026-04-02,319,601,
D2,2026-04-03,602,821,
D2,2026-04-04,822,1130,
D2,2026-04-06,1131,1412,
D2,2026-04-07,1413,1635,
D2,2026-04-08,101,318,
D2,2026-04-09,319,601,
D2,2026-04-10,602,821,
D2,2026-04-11,822,1130,
D2,2026-04-13,1131,1412,
D2,2026-04-15,1413,1635,
D2,2026-04-16,101,318,
D2,2026-04-17,319,601,
D2,2026-04-18,602,821,
D2,2026-04-20,822,1130,
D2,2026-04-21,1131,1412,
D2,2026-04-22,1413,1635,
D2,2026-04-24,101,318,
D2,2026-04-25,319,601,
D2,2026-04-27,602,821,
D2,2026-04-28,822,1130,
D2,2026-04-29,1131,1412,
D2,2026-04-30,1413,1635,
